GEOID,NAME,year_,AreaBurned
01003,Baldwin,2015,6.676729651424814e-06
01003,Baldwin,2016,2.856617912607713e-07
01007,Bibb,2012,4.166845524859121e-05
01007,Bibb,2013,7.130024284346234e-05
01007,Bibb,2015,7.992342721847135e-07
01007,Bibb,2017,0.00015735358178738262
01015,Calhoun,2010,2.7397657976494103e-05
01015,Calhoun,2011,9.29026178052314e-07
01015,Calhoun,2012,0.0002621306569551776
01015,Calhoun,2013,9.26605712377508e-06
01015,Calhoun,2014,0.00018264228972392075
01015,Calhoun,2016,4.0963713209810865e-05
01019,Cherokee,2013,5.0581323266007315e-05
01019,Cherokee,2014,1.0975335557055743e-05
01019,Cherokee,2015,5.715383426782163e-06
01021,Chilton,2012,7.255813836892078e-05
01021,Chilton,2015,3.858637649441829e-06
01027,Clay,2011,0.00011897167134399631
01027,Clay,2012,1.7413754478703032e-05
01027,Clay,2013,3.110978510383444e-05
01027,Clay,2014,7.00072464877045e-05
01027,Clay,2015,4.320122344793048e-05
01027,Clay,2016,0.0018948745220026587
01027,Clay,2019,3.0396928441955496e-06
01029,Cleburne,2011,0.0001448034858670572
01029,Cleburne,2012,0.00018490480013881537
01029,Cleburne,2013,5.703464867136433e-05
01029,Cleburne,2014,0.0002325937164802171
01029,Cleburne,2016,0.00048013563543769386
01029,Cleburne,2019,0.00011130979662237386
01039,Covington,2016,2.0062804687438345e-05
01049,DeKalb,2016,0.00034987559343195823
01053,Escambia,2016,7.329281047140275e-05
01065,Hale,2014,3.881089871368374e-05
01065,Hale,2015,3.0391643695756416e-07
01065,Hale,2016,4.296089420060398e-06
01079,Lawrence,2011,3.0134016356060215e-06
01079,Lawrence,2012,1.1644387767732389e-05
01079,Lawrence,2013,4.074188339111908e-05
01079,Lawrence,2014,5.50225570677554e-05
01079,Lawrence,2015,0.0007949379975847773
01079,Lawrence,2016,3.589021522881202e-05
01079,Lawrence,2019,0.00012969840562031292
01097,Mobile,2016,0.00043936621448055615
01105,Perry,2012,1.978097099646967e-06
01105,Perry,2013,4.0936827002819323e-05
01105,Perry,2014,1.6201023955897422e-05
01105,Perry,2016,4.492379737042461e-06
01105,Perry,2017,3.708754594892287e-05
01121,Talladega,2011,3.3856353441841924e-05
01121,Talladega,2012,0.00023116622536701486
01121,Talladega,2013,5.537763168555819e-06
01121,Talladega,2014,9.717508813504568e-05
01121,Talladega,2015,0.00019587149151502442
