GEOID,Human,Natural,Undetermined,Unknown,Year
01007,5.0,,,,1980
01015,7.0,1.0,,,1980
01027,3.0,,,,1980
01029,7.0,5.0,,,1980
01033,8.0,,,,1980
01039,5.0,,,,1980
01053,1.0,,,,1980
01065,2.0,1.0,,,1980
01071,2.0,,,,1980
01077,1.0,,,,1980
01079,5.0,,,,1980
01105,,1.0,,,1980
01121,11.0,2.0,,,1980
01125,2.0,,,,1980
01133,29.0,,,,1980
04003,1.0,1.0,,,1980
04005,93.0,124.0,,,1980
04007,,2.0,,,1980
04009,1.0,4.0,,,1980
04012,1.0,2.0,,,1980
04013,3.0,2.0,,,1980
04015,26.0,105.0,,,1980
04019,1.0,1.0,,,1980
04025,5.0,13.0,,,1980
04027,11.0,1.0,,,1980
05003,3.0,,,,1980
05005,,1.0,,,1980
05007,5.0,,,,1980
05033,1.0,,,,1980
05051,32.0,8.0,,,1980
05081,1.0,,,,1980
05083,1.0,3.0,,,1980
05097,41.0,11.0,,,1980
05101,14.0,1.0,,,1980
05105,16.0,6.0,,,1980
05109,,2.0,,,1980
05113,12.0,7.0,,,1980
05125,6.0,1.0,,,1980
05127,15.0,6.0,,,1980
05129,9.0,,,,1980
05131,,2.0,,,1980
05149,13.0,7.0,,,1980
06003,9.0,18.0,,,1980
06005,1.0,,,,1980
06007,10.0,7.0,,,1980
06009,4.0,4.0,,,1980
06011,4.0,,,,1980
06015,20.0,1.0,,,1980
06017,18.0,9.0,,,1980
06019,65.0,62.0,,,1980
06021,1.0,,,,1980
06023,27.0,,,,1980
06025,9.0,,,,1980
06027,11.0,10.0,,,1980
06029,30.0,14.0,,,1980
06033,14.0,4.0,,,1980
06035,22.0,68.0,,,1980
06037,113.0,7.0,,,1980
06039,36.0,35.0,,,1980
06041,10.0,,,,1980
06043,75.0,33.0,,,1980
06045,3.0,1.0,,,1980
06049,8.0,93.0,,,1980
06051,24.0,41.0,,,1980
06053,10.0,,,,1980
06057,28.0,7.0,,,1980
06059,3.0,,,,1980
06061,19.0,18.0,,,1980
06063,46.0,59.0,,,1980
06065,44.0,19.0,,,1980
06069,1.0,,,,1980
06071,177.0,67.0,,,1980
06073,40.0,6.0,,,1980
06079,2.0,,,,1980
06083,13.0,3.0,,,1980
06089,32.0,39.0,,,1980
06091,14.0,11.0,,,1980
06093,68.0,53.0,,,1980
06097,1.0,,,,1980
06103,14.0,10.0,,,1980
06105,52.0,12.0,,,1980
06107,50.0,115.0,,,1980
06109,69.0,40.0,,,1980
06111,15.0,8.0,,,1980
06115,4.0,1.0,,,1980
08007,3.0,15.0,,,1980
08013,,1.0,,,1980
08015,14.0,7.0,,,1980
08027,5.0,3.0,,,1980
08029,1.0,7.0,,,1980
08033,,9.0,,,1980
08035,5.0,30.0,,,1980
08037,25.0,14.0,,,1980
08041,4.0,3.0,,,1980
08043,6.0,10.0,,,1980
08045,8.0,30.0,,,1980
08049,2.0,1.0,,,1980
08051,4.0,4.0,,,1980
08053,2.0,3.0,,,1980
08055,1.0,1.0,,,1980
08057,,1.0,,,1980
08059,7.0,18.0,,,1980
08065,5.0,,,,1980
08067,6.0,13.0,,,1980
08069,3.0,,,,1980
08077,13.0,12.0,,,1980
08079,,3.0,,,1980
08081,3.0,36.0,,,1980
08083,19.0,24.0,,,1980
08085,1.0,25.0,,,1980
08091,,7.0,,,1980
08093,17.0,18.0,,,1980
08097,12.0,4.0,,,1980
08101,,1.0,,,1980
08103,6.0,42.0,,,1980
08107,,1.0,,,1980
08109,,3.0,,,1980
08111,1.0,1.0,,,1980
08113,1.0,12.0,,,1980
08117,12.0,6.0,,,1980
08119,5.0,2.0,,,1980
10005,1.0,,,,1980
11001,4.0,,,,1980
12003,4.0,4.0,,,1980
12009,5.0,4.0,,,1980
12011,2.0,,,,1980
12021,97.0,3.0,,,1980
12023,6.0,2.0,,,1980
12031,1.0,,,,1980
12037,21.0,8.0,,,1980
12053,1.0,,,,1980
12069,12.0,3.0,,,1980
12073,8.0,7.0,,,1980
12077,18.0,11.0,,,1980
12083,39.0,8.0,,,1980
12086,12.0,19.0,,,1980
12087,12.0,6.0,,,1980
12107,7.0,,,,1980
12127,2.0,4.0,,,1980
12129,12.0,8.0,,,1980
13039,2.0,,,,1980
13049,1.0,,,,1980
13051,,1.0,,,1980
13065,1.0,,,,1980
13067,4.0,,,,1980
13111,10.0,,,,1980
13123,5.0,,,,1980
13129,3.0,,,,1980
13133,1.0,,,,1980
13137,7.0,,,,1980
13159,2.0,1.0,,,1980
13187,33.0,,,,1980
13213,15.0,,,,1980
13237,2.0,,,,1980
13241,60.0,1.0,,,1980
13257,2.0,,,,1980
13291,14.0,1.0,,,1980
13295,7.0,,,,1980
13299,1.0,,,,1980
13311,8.0,,,,1980
13313,4.0,,,,1980
16001,5.0,2.0,,,1980
16005,1.0,3.0,,,1980
16011,5.0,1.0,,,1980
16013,7.0,12.0,,,1980
16015,1.0,,,,1980
16023,2.0,,,,1980
16025,2.0,2.0,,,1980
16027,4.0,,,,1980
16029,2.0,,,,1980
16031,7.0,13.0,,,1980
16033,1.0,,,,1980
16037,8.0,3.0,,,1980
16039,12.0,5.0,,,1980
16041,1.0,,,,1980
16043,,1.0,,,1980
16045,6.0,,,,1980
16047,3.0,,,,1980
16051,2.0,,,,1980
16053,8.0,,,,1980
16059,14.0,6.0,,,1980
16063,16.0,10.0,,,1980
16071,,2.0,,,1980
16073,9.0,10.0,,,1980
16075,4.0,2.0,,,1980
16077,1.0,1.0,,,1980
16081,1.0,,,,1980
16083,14.0,3.0,,,1980
16085,,1.0,,,1980
17059,1.0,,,,1980
17077,2.0,,,,1980
18071,1.0,,,,1980
18089,10.0,,,,1980
18105,1.0,,,,1980
18127,8.0,,,,1980
19043,1.0,,,,1980
19079,1.0,,,,1980
20145,1.0,,,,1980
20185,,1.0,,,1980
21011,1.0,,,,1980
21051,42.0,,,,1980
21061,1.0,,,,1980
21109,10.0,,,,1980
21125,11.0,,,,1980
21131,18.0,,,,1980
21147,55.0,3.0,,,1980
21165,4.0,,,,1980
21189,5.0,,,,1980
21193,1.0,,,,1980
21197,1.0,,,,1980
21199,10.0,,,,1980
21203,2.0,1.0,,,1980
21205,4.0,,,,1980
21235,21.0,,,,1980
21237,4.0,,,,1980
24031,,1.0,,,1980
24043,1.0,,,,1980
24045,1.0,,,,1980
24047,1.0,,,,1980
25001,9.0,,,,1980
25017,3.0,,,,1980
26001,2.0,,,,1980
26033,3.0,,,,1980
26041,1.0,,,,1980
26061,1.0,,,,1980
26069,7.0,,,,1980
26085,2.0,,,,1980
26101,3.0,,,,1980
26105,3.0,,,,1980
26123,14.0,,,,1980
26127,7.0,,,,1980
26135,8.0,,,,1980
26165,4.0,,,,1980
27007,17.0,,,,1980
27021,19.0,1.0,,,1980
27061,3.0,,,,1980
27067,4.0,,,,1980
27071,1.0,1.0,,,1980
27075,1.0,,,,1980
27089,1.0,,,,1980
27111,1.0,,,,1980
27137,9.0,11.0,,,1980
27141,1.0,,,,1980
27145,1.0,,,,1980
28001,3.0,,,,1980
28005,2.0,,,,1980
28009,39.0,1.0,,,1980
28019,5.0,,,,1980
28025,1.0,,,,1980
28035,24.0,,,,1980
28037,4.0,,,,1980
28039,4.0,1.0,,,1980
28041,10.0,1.0,,,1980
28047,43.0,,,,1980
28059,11.0,,,,1980
28061,1.0,,,,1980
28067,5.0,,,,1980
28071,3.0,,,,1980
28079,2.0,,,,1980
28081,3.0,,,,1980
28093,9.0,2.0,,,1980
28103,,1.0,,,1980
28109,5.0,,,,1980
28111,113.0,1.0,,,1980
28123,12.0,,,,1980
28129,8.0,,,,1980
28131,3.0,,,,1980
28139,1.0,,,,1980
28145,2.0,,,,1980
28153,9.0,,,,1980
28159,3.0,,,,1980
28161,4.0,,,,1980
29009,7.0,,,,1980
29023,21.0,1.0,,,1980
29035,19.0,,,,1980
29041,1.0,,,,1980
29043,7.0,,,,1980
29055,16.0,,,,1980
29065,12.0,,,,1980
29067,9.0,,,,1980
29091,13.0,,,,1980
29093,4.0,,,,1980
29105,8.0,2.0,,,1980
29123,6.0,,,,1980
29149,9.0,,,,1980
29153,8.0,,,,1980
29161,10.0,2.0,,,1980
29169,4.0,1.0,,,1980
29179,8.0,1.0,,,1980
29181,15.0,1.0,,,1980
29203,38.0,,,,1980
29209,1.0,,,,1980
29213,6.0,,,,1980
29215,12.0,3.0,,,1980
29221,16.0,,,,1980
29223,5.0,,,,1980
29229,3.0,,,,1980
30001,2.0,4.0,,,1980
30003,,1.0,,,1980
30005,,3.0,,,1980
30009,,1.0,,,1980
30011,1.0,1.0,,,1980
30013,,1.0,,,1980
30015,1.0,3.0,,,1980
30017,,3.0,,,1980
30019,,1.0,,,1980
30027,4.0,16.0,,,1980
30029,,4.0,,,1980
30031,1.0,,,,1980
30033,6.0,10.0,,,1980
30037,,1.0,,,1980
30039,,3.0,,,1980
30043,1.0,,,,1980
30047,6.0,5.0,,,1980
30049,2.0,,,,1980
30055,2.0,4.0,,,1980
30063,,4.0,,,1980
30067,,2.0,,,1980
30069,,9.0,,,1980
30071,8.0,9.0,,,1980
30075,,1.0,,,1980
30077,,1.0,,,1980
30079,,3.0,,,1980
30087,,1.0,,,1980
30089,6.0,7.0,,,1980
30093,1.0,,,,1980
30105,2.0,1.0,,,1980
31027,3.0,,,,1980
31031,,3.0,,,1980
31067,1.0,,,,1980
31069,,8.0,,,1980
31157,3.0,,,,1980
31183,,1.0,,,1980
32003,57.0,65.0,,,1980
32005,2.0,4.0,,,1980
32007,9.0,15.0,,,1980
32009,1.0,,,,1980
32011,2.0,10.0,,,1980
32013,10.0,1.0,,,1980
32015,8.0,5.0,,,1980
32017,38.0,76.0,,,1980
32019,1.0,4.0,,,1980
32021,,1.0,,,1980
32023,3.0,14.0,,,1980
32027,2.0,,,,1980
32031,2.0,11.0,,,1980
32033,5.0,57.0,,,1980
32510,1.0,1.0,,,1980
33003,2.0,,,,1980
33007,4.0,,,,1980
33009,4.0,,,,1980
34025,2.0,,,,1980
34027,1.0,,,,1980
34037,10.0,,,,1980
34041,8.0,1.0,,,1980
35001,3.0,,,,1980
35003,,1.0,,,1980
35005,1.0,1.0,,,1980
35006,1.0,5.0,,,1980
35013,4.0,,,,1980
35015,1.0,12.0,,,1980
35028,1.0,,,,1980
35029,,1.0,,,1980
35035,36.0,28.0,,,1980
35039,,2.0,,,1980
35043,3.0,6.0,,,1980
35045,14.0,21.0,,,1980
35053,,1.0,,,1980
35055,,2.0,,,1980
35057,1.0,2.0,,,1980
35061,1.0,,,,1980
36047,37.0,,,,1980
36081,9.0,,,,1980
36085,91.0,1.0,,,1980
36091,1.0,,,,1980
36103,5.0,,,,1980
37007,3.0,,,,1980
37011,2.0,,,,1980
37023,6.0,1.0,,,1980
37027,6.0,1.0,,,1980
37029,,1.0,,,1980
37031,9.0,,,,1980
37039,18.0,1.0,,,1980
37043,3.0,,,,1980
37049,4.0,,,,1980
37055,6.0,,,,1980
37073,,1.0,,,1980
37075,16.0,1.0,,,1980
37087,5.0,,,,1980
37089,1.0,,,,1980
37099,2.0,,,,1980
37103,2.0,,,,1980
37111,12.0,1.0,,,1980
37113,18.0,,,,1980
37115,5.0,1.0,,,1980
37123,3.0,,,,1980
37139,1.0,1.0,,,1980
37173,9.0,,,,1980
37175,5.0,,,,1980
38005,3.0,,,,1980
38007,,2.0,,,1980
38019,1.0,,,,1980
38057,1.0,,,,1980
38077,1.0,,,,1980
39035,2.0,,,,1980
